textID,text,selected_text,sentiment
d22e6d40a7,went to sleep and there is a power cut in noida  power back up not working too,power back up not working too,negative
d33f811375,im going home now have you seen my new twitter design quiteheavenly isn,quiteheavenly,positive
7d8c4c11e4,i hope unni will make the audition  fighting dahye unni ,hope,positive
1c31703aef, if it is any consolation i got my bmi tested hahaha it says i am obesed  well so much for being unhappy for about 10 minutes,well so much for being unhappy for about 10 minute,negative
2dc51711bc, thats very funny  cute kids,funny,positive
d21ab5855b, ahhh i slept through the game  im gonna try my best to watch tomorrow though i hope we play army,ahhh i slept through the game  im gonna try my best to watch tomorrow though i hope we play army,neutral
4f5267ad70,thats it its the end tears for fears vs eric prydz dj hero   httpbitly2hpbg4,thats it its the end tears for fears,neutral
2724775d6b,born and raised in nyc and living in texas for the past 10 years  i still miss ny,miss,negative
1cbc812ece,just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,neutral
4b61dffbeb,im soooooo sleeeeepy the last day o school was todaysniffle,soooooo sleeeeepy,negative
2863f435bd,a little happy for the wine jeje ok itsm my free time so who cares jaja i love this day,a little happy fo,positive
d93afa85cf, car not happy big big dent in boot hoping theyre not going to write it off crossing fingers and waiting,car not happy big big dent in boot hoping theyre not going to write it off crossing fingers and waiting,neutral
fab6b7d16c,im an avid fan of  magazine and i love your magazines,avid fan of,positive
2e7082d1c8,mayday,mayday,neutral
684081e4e7,ratt rocked nashville toniteone thing sucked no encore  like in the 80s they still have a fun show pearcy has that hott bad boy look,ratt rocked nashville toniteone thing sucked no encore  like in the 80s they still have a fun show pearcy has that hott bad boy look,neutral
c77717b103, i love to but im only available from 5pm  and where dear would love to help  convert her vids,i love to,positive
a9d499e123,the girl in the hair salon asked me shall i trim your eyebrows how old do i feel,the girl in the hair salon asked me shall i trim your eyebrows how old do i feel,neutral
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  hangovers suckkkkkk im a drunk mess,suckkkkkk,negative
c3924dc9e4,visiting my friendster and facebook,visiting my friendster and facebook,neutral
3d9d4b0b55,i donbt like to peel prawns i also dont like going shopping running out of money and crawling round the car looking for more,dont like go,negative
3fcea4debc, which case i got a new one last week and im not thrilled at all with mine,d im not thrilled at all with mine,negative
a3ae670885, then you should check out httptwittersuckscom and connect with other tweeple who hate twitter,then you should check out httptwittersuckscom and connect with other tweeple who hate twitter,neutral
15d5f3a41b, also bored at school its my third freelesson freistunde ,also bored at school its my third freelesson freistunde ,neutral
3c4a21b2cb, hm both of us i guess,hm both of us i guess,neutral
11084dac09, it is u have dissappointed me that past few days,it is u have dissappointed me that past few days,negative
d8ba2a99a9, romance zero is funny,romance zero is funny,positive
e77fd45003, id rather do the early runbut i am a morning runner,id rather do the early runbut i am a morning runner,neutral
b159318d76,bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,hurts,negative
6086b1f016,will be back later  httpplurkcomprp3k7,will be back later,neutral
703afdc44b,aw torn ace of hearts  hunchback,torn ace of hearts,negative
90f3d2b572, what fun are you speaking of,what fun are you speaking of,neutral
52483f7da8,i lost all my friends im alone and sleepyi wanna go home,i lost all my friends im alone and sleepy,negative
a4b0888da6, haha yes,haha yes,neutral
2a9765b7f9,i give in to easily,i give in to easily,negative
90a2cdb657,what better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine our wine was a red,favorite,positive
98f25bc596,mannnn  got an iphone im jealous  httpbitlyngnar,jealous,negative
23e1f7dca4,is at a photoshoot,is at a photoshoot,neutral
95e12b1cb1,  hes awesome have you worked with him before hes a good friend,s awesome,positive
c34feef039,yay playing a show tonight boo its gonna soggy and im at work right before playing,yay playing a show tonight boo its gonna soggy and im at work right before playing,neutral
fa2654e730,chilliin,chilliin,positive
187494c25b, if you know such agent do let me know,if you know such agent do let me know,neutral
4213627c3c,i still smell of smoke  kitchenfire,i still smell of smoke  kitchenfire,neutral
a4e00d4d26, a celticslakers rematch sounds better dont you think lol,better,positive
04e2e334de,anyone have an extra keane ticket i promise to buy you a drink and take rad pics for your fb  blog  flickr etc,anyone have an extra keane ticket i promise to buy you a drink and take rad pics for your fb  blog  flickr etc,neutral
0c4aa867d0,you can ride one you can catch one but its not summer til you pop open one  ,you can ride one you can catch one but its not summer til you pop open one  ,neutral
a6c61eac26, she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral
94bd67443c,ok  im out of here for now just popped in to say hi and check on things ill probably head to the guttah later on tonight,ok  im out of here for now just popped in to say hi and check on things ill probably head to the guttah later on tonight,neutral
35f393a245,wow i am really missin the family today baddd,baddd,negative
b2c9f115b1, my sources say no,my sources say no,neutral
0a61cbf4b5,i am sooo tired,i am sooo tired,negative
ee9ec7a5a4, hey you change your twitter account and you didnt even tell me,hey you change your twitter account and you didnt even tell me,neutral
bbbc46889b, thank yyyyyyyyyoooooooooouuuuu,thank yyyyyyyyyoooooooooouuuuu,positive
58d382e07a, lucky kidi so wanna see loserville  pity im in oz,lucky,positive
cb4d439ebc,fell asleep waiting for my ride,fell asleep waiting for my ride,neutral
64ed512788,sick with a flu like thing,sick,negative
4cd390c007,still no reply from  about my simfinger problem  so no irape parody video until i get a response sorry guys, sorry guys,negative
3d2fcd78c8,happy star wars day everyone and enjoy the holiday uk,happy star wars day everyone and enjoy the holiday uk,positive
0c0563423e, miles from you   im in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers,miles from you   im in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers,neutral
cd0d522bb1,his snoring is so annoying n it keeps me from sleeping like right now lol but i honestly wud miss it if it eva left  i love him,his snoring is so annoying n it keeps me from sleeping like right now lol but i honestly wud miss it if it eva left  i love him,neutral
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good,i miss you bby,negative
9339ee8e0b, well what im working on isnt quite ready to post about publicly still beta testing but its a cool new script i coded,cool,positive
a76f9cf8ce, sweeeeet  san fran is awesome  love it there,love it there,positive
4ce121e2ad,mounce yes and it lasts way past my bedtime,mounce yes and it lasts way past my bedtime,neutral
a3de81e1ba, hi  how are you doing   just joined twitter,hi  how are you doing   just joined twitter,neutral
55bacda5eb,waiting for sleeping pills to kick in gonna be so tired at work tomorrow,tired,negative
b63ed6da62,eating ice cream and then getting ready for graduation,eating ice cream and then getting ready for graduation,neutral
4c41a35a2a,happy mothers day to all you mums out there,happy mothers day to all you mums out there,positive
61a8e11e8a, caseys gone but why so she piddled a little on the carpet shes prolly freaked cause its new can we get her back,freaked,negative
447dc22c81, hemp cloth is marvelous but unfortunately no,unfortunately,negative
3408db03a3,gonna read a story bout adam lambert online then bed nighty night,gonna read a story bout adam lambert online then bed nighty night,neutral
92e1b6846e, we saw that in none 3d  the baddies the best,best,positive
2207d982bc,4am and im on the beach pretty,pretty,positive
15e01e1749, certainly not cheers than huh,certainly not cheers than huh,neutral
ebcdf07ac5,1 week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces are starting to emerge from my hand ouch,horrible,negative
fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,busy,negative
6b018d3d2d, awesome  im down in ocean beach if you know where that is by the way yourbiggestfan im a real big fan of yours,awesome,positive
327a009a7d,at least i get to watch over time  lets go pens,at least i get to watch over time  lets go pens,neutral
d0d3c6f298, cool i wear black most of the time when i go out,cool i wear black most of the time when i go out,neutral
40649553ef, haha i do not know how to work blip apart from the obvious thanks for reblipping my song  have a nice day ,thanks,positive
561b44a42f, have a safe trip joshy pooyoull knock them dead at your speech,safe,positive
a05aea73d7, woof i wish i was allowed to go,i wish i was allowed to go,positive
9c4817f73b,if u have a friendster add me        my email adress      add me  lococrime1stcom        add me leave some comment,if u have a friendster add me        my email adress      add me  lococrime1stcom        add me,neutral
f0c1601d8b,  has tickets,has tickets,neutral
d421fbd332,thank you afrin nasal spray also i got a giant teacup tonight,thank you,positive
99b7ec4b0b, acsm its unfathomable  i think the other one  and the  is one that should be kept to the comfort of our bedrooms yes,acsm its unfathomable  i think the other one  and the  is one that should be kept to the comfort of our bedrooms yes,neutral
a655fbb5eb,aww i love my daddy he works 7 days a week almost all day and still tries to go to sf with all of us,i love my,positive
43e9a93104,so many tests todayyy  i dont feel confident about anyy,i dont feel confident,negative
401869d615,graduation is done  im a little sad anyone want to hang out,sad,negative
9843c4688e, hahaa your awesomee ,hahaa your awesomee ,positive
87fbf14655,holy smokes star trek was freaking awesomeeeee,awesomeeeee,positive
22d1806fa0,i hate fallout 3 it keeps making me jump im also low on health money ammo and food  dont worry ill get through it,i hate fallout 3 it keeps making me jump im also low on health money ammo and food  dont worry ill get through it,neutral
9d2cffd953, i had it on my itunes but then i lost all my songs,i had it on my itunes but then i lost all my songs,neutral
f78761f7ec,whats with the gloomy weather the sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,whats with the gloomy weather the sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral
66057d58c2,not looking forward to next week maths geography english and french exams totalling 7 hours,not looking forward,negative
af90ad5989, poor you  get outside and sleep in the garden the sun will do you good but dont forget suncream,poor you,negative
f0460d611d,not well,not well,negative
6649f3558c, not a prob hun,not a prob,positive
24532ab83c,at dads watching some mtv and am going on sims2 in a minutee,at dads watching some mtv and am going on sims2 in a minutee,neutral
8e1583cb08, absolutely,absolutely,neutral
4ea61dbc7a, whats the matter chickadee,whats the matter chickadee,neutral
94f67cfa6d, hey mia  totally adore your music  when will your cd be out,y adore,positive
29dfaf5e3b,shopping cleaning bmfing webcam chatting with nephews nothing spesh but a good bank holiday monday nonetheless,good,positive
974b35f889, o you need to ask him something lmao i love him too,i love him too,positive
b495300bbf, those splinters look very painfulbut you were being very heroic saving mr pickle,painful,negative
504539e6ec, why are you sad,sad,negative
6903cb08f2, nice to see you tweeting  its sunday 10th may and were celebrating mothers day here today so be nice to yer mom,e nice,positive
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots  age of the instant gratification,i wish,positive
c6d0c7676c, namaskar  namaste r both the same marathi people say namaskar its a marathi word should i  naaaah ,namaskar  namaste r both the same marathi people say namaskar its a marathi word should i  naaaah ,neutral
ef74bab7f3, congrats  i cuss like that in a matter of minutes but didnt know until now there is a reward for it,congrats  i cuss like that in a matter of minutes but didnt know until now there is a reward for it,neutral
f3cf8ec01b,humous and doritos oh yes,humous and doritos oh yes,neutral
cb1b0d191d,missed all the awesome weather because she was in a movie,missed all the awesome weather,negative
3e67a75303,today is going to be a normal day for i hope we had a group of pilots from a large airline come in last night so it was too much drink,today is going to be a normal day for i hope we had a group of pilots from a large airline come in last night so it was too much drink,neutral
997a62f83f,these kids are terrible if i was in good evans id call childline,terrible,negative
7e1757d4f0,unfortunatley aerlingus no longer fly to copenhagen so were have to fly ryanair to billund and drive up to copenhagen one of the days,unfortunatley,negative
254546cd2c, whats sad is that i actually had to google that term that sucks tho,that sucks tho,negative
7e4ed52c4a,hate fighting,hate fighting,negative
5069ae7a15, i watched that too i didnt want her to win but she put up a good fightlol,i watched that too i didnt want her to win but she put up a good fightlol,neutral
48cdcd5f28,carwarmed sprite tastes like sore throat,carwarmed sprite tastes like sore throat,negative
1b1b02af59,just came 11th in cross country and beat dumbo,just came 11th in cross country and beat dumbo,neutral
ae71041e21,candle wax is very enjoyable,enjoyable,positive
11c10e3fc5, shes unassuming and unpretentious shes just as i suppose thats why shes so endearingbecause we can relate to her,endearing,positive
19526ac03e,tomorrow valerias lunch going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,tomorrow valerias lunch going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral
960bbdc0c3,goooooddd morning tweets  week three of my workout did i mention i got my new glasses yesterday,goooooddd morning tweets,positive
fd285fe74a, me too i hate my computer so much,hate,negative
a5a1c996c0, fine going to do my big walk today 20 or so miles,fine,positive
20ec7c7c32,i want red cruisers  i dont like the other ones lmfao,i dont like the other ones,negative
b948984e8d,mmmmmmmm  it in the morning,mmmmmmmm  it in the morning,neutral
6824c44c21, me neither,me neither,neutral
02d140362f,has about 10 hours work to do on a sunday boo i will find time for a two hour lunchbreak though yeah,has about 10 hours work to do on a sunday boo i will find time for a two hour lunchbreak though yeah,neutral
5f93cc70ff,bugger forgot i still have washing in my machine,bugger forgot i still have washing in my machine,negative
4e6a5c0034,laurie sending love blessings  healing thoughts to you  family  peace,sending love blessings  healing thoughts to you  family  peace,positive
e4e9b8713a,my back hurtsreally bad,really bad,negative
08975f62a8, ah yes i know that feeling,ah yes i know that feeling,neutral
4a1ce7dc3b,night of the cookers with my dad,night of the cookers with my dad,neutral
328a0e76bd,my modem has been offline for a week now god bless the 3g network tim just left again may schedule has been brutal,brutal,negative
abbd0db2a5, nope i am in coquitlam,nope i am in coquitlam,neutral
940eb93dd5, had parent teacher thing yesterday so boring going to skl on saturday  lol,boring,negative
c78bf59e67,  lichfield tweetup sounds like fun  hope to see you and everyone else there,p sounds like fun,positive
e73425ffdc,big booming thunder storm almost here  maybe we can all go home early  ah probably not,big booming thunder storm almost here  maybe we can all go home early  ah probably not,neutral
e56eeb4968,few bevvies 2day in twngreat on a day off,great,positive
7162d447ab,first night in myers just not the same wout lydia  but im actually excited about this summer,excited,positive
f3d95b57b1, good morning,good morning,positive
5e4eac2b2e, its the best show ever,its the best show ever,positive
bc02870b7d,url in previous post to timer job should be httpbitlya4fdb id removed space which messed up url  es,messed,negative
80e45e833f,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha l ,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha l ,neutral
f29df52d91, i want to know when the auditions are mander text orreply please,i want to know when the auditions are mander text orreply please,neutral
079e4e3472,or even nooooo not the secret namerebecca please,not the secret namerebecca please,negative
557e676fe4, i miss my neice  cant wait to see her bad n grown  lol,miss,negative
8d09044937,i need to get my computer fixed,i need to get my computer fixed,neutral
9d3a1e0269,really hopes her cars illness is not terminal,illness,negative
7ff2dbbe25,all the cool people i want to find for following today are english and i guess the english dont tweet,all the cool people i want to find for following today are english and i guess the english dont tweet,neutral
5a254fbb98, no siri woulda put honeybut i dont have any,no siri woulda put honeybut i dont have any,neutral
417176c08e,who watched xmen origins wolverine i totally loved it haha,i totally loved it,positive
2bf5c7dba7, i voted do u have a personal myspace i keep talking to fakes   i 3 you u helped me thru the hrdest time of my life  x,i 3 you u helped me thru the hrdest time of my life,positive
8407ac30b0, im sad that i missed you guys last night,sad,negative
6ed347b1a5,finally got a call for marriage counseling 3 days late,finally got a call for marriage counseling 3 days late,neutral
97625460cf, ok then,ok then,neutral
32e4ffe225,420 why baby,why baby,neutral
24ee55f264,today was the last day of high school for me and i ended up going home sick  stupid dead rats,sick,negative
82b75647fd,were having an impromptu pool party except i dont know how to swim so i cant get in,were having an impromptu pool party except i dont know how to swim so i cant get in,neutral
a0a306868a,lost my tooth 2day whilst i was eating gumoww,oww,negative
9b11b686ec,happy 1 year 3,happy 1 year 3,positive
7e7bc11e45,oh i hella forgot to say my official good morning  like to hear it here it go goooooooooooood morrrrrrrrning twitterville lol,goooooooooooood morrrrrrrrning,positive
28dbada620, phew  will make a note in case anyone else runs into the same issue,phew  will make a note in case anyone else runs into the same issue,neutral
3e880ec28d,  what about me   i vote every day for you ,what about me   i vote every day for you ,negative
38271074d1,im starving this diet is killing me but i cant eat after 8pm,this diet is killing me,negative
ef12a3d183, i talk to you,i talk to you,neutral
f0db54f5bf,im soo boredim deffo missing my music channels,bored,negative
e651d415c6, nite nite bday girl  have fun at concert,e fun,positive
931a866d3f,had nicotine replacement patch on for 4 hours so far so good but i did sleep for most of those 4 hours getting a bit twitchy now,so far so good but i did sleep for most of those 4 hours getting a bit twitchy now,neutral
7a718b23ef,sanderson whats with twatter lately  either i cant get on or the replies dont turn up,whats with twatter lately  either i cant get on or the replies dont turn up,neutral
a6fccce9db,should be sleeping  lost my voice a couple day ago,lost my voice,negative
c017d0c221,httptwitpiccom66xlm   hate when my parked car gets hit,hate,negative
287755c5dd, ive heard this fall im waiting too,ive heard this fall im waiting too,neutral
58c435d2cf, more nightmares  huggles,more nightmares  huggles,neutral
e6ee6826df,i am such a creeper  i feel disappointed because of it  my cyberstalking skills   the internet  no more privacy,i am such a creeper  i feel disappointed because of it  my cyberstalking skills   the internet  no more privacy,negative
01b2476dd7,going to bed its late and i have headache,headache,negative
e02cf4af4c,happy mothers day to all moms out there,happy,positive
2dc0dc0d5d,grabbing coffee from  then making mom breakfast,grabbing coffee from  then making mom breakfast,neutral
1b13ed8b4b,im thinking that im going to have fun tonightand maybe some changes are coming,going to have fun,positive
b6b35af246, thanks before the major chop,thanks before the major chop,neutral
375e74d063, haha i know i cant handle the fame  and thank you,d thank you,positive
4700be3234,just got up and updated my ipod,just got up and updated my ipod,neutral
e5c6a6bb5a, yes sober hahaha tanghaling tapat dude haha wild i dont knowwww  plan plan  before you go to us,hahaha,positive
4f84bea1cc, we never miss icarly  my son has a huge crush on miranda,crush,positive
4c73ad2888,saw james carville in the store today his head is really that bald,saw james carville in the store today his head is really that bald,neutral
2dcd8766a8,yellow for    httpblipfm5z05g,yellow for    httpblipfm5z05g,neutral
234093bef1, which means youre just going to have to come back to vancouver and have it our way hahah,which means youre just going to have to come back to vancouver and have it our way hahah,neutral
ca832cad51,feeling smooth like chrome,feeling smooth,positive
a8734230b6,ew traffic,ew traffic,negative
0b5c2a7d7c,downloading songs while trying to sneak a lil homework in too which should be my main priority not songs lol,downloading songs while trying to sneak a lil homework in too which should be my main priority not songs lol,neutral
e70d294d95,rara your not alonei need coffee too,your not alonei need coffee too,neutral
f84b89a828, sounds like me,sounds like me,neutral
ee37bea884,bad day  the day you realize what mess youve put me through will be one of the happiest days of my life,bad day  the day you realize what mess youve put me through will be one of the happiest days of my life,neutral
242d92151a,walking to class i hate not having a bikeespecially mine,i hate not having a bike,negative
f3a77c2b5e,nesmith,nesmith,neutral
1d6411e9dd,failed inspection did you know you can pass wooven but not woantitip bracket which is only sold woven this is worse than taxes,this is worse than taxes,negative
151c10cc39,jonas brothers  live to party                its rocking so hard     i love the song,jonas brothers  live to party                its rocking so hard,positive
7b1927e748,happy mothers day to all the mothers in the world,happy,positive
9a6f4d05d5,35mins through the 1hr 20mins google wave demo that looks a lot of fun would love to test it though  httpbitlywnmsc,would love to test it though,positive
0cb4504f2c,sleepy tabz is heading to bed  fun night listened through the next episode of jossd,fun night,positive
ae21c1ac38,the exception for a short dude larenz fineass tate yum,the exception for a short dude larenz fineass tate yum,neutral
8f3e73cf09,screw the reviews i thought wolverine was awesome but not enough dominic monaghan for my liking,i thought wolverine was awesome,positive
c7489a23fa,if you followed us recently please dont be offended that we havent followed back we hit our limit   hopefully we will be free soon,hopefully,positive
148ac38bea, yes i work 6 to 3,yes i work 6 to 3,neutral
641555ac70, hmmm maybe thats what they meant they eluded to something brand new but you know how the media is,hmmm maybe thats what they meant they eluded to something brand new but you know how the media is,neutral
4bda359cbb,done at the spa   now meeting vic for some late lunch,done at the spa   now meeting vic for some late lunch,neutral
ed084a1fa7,happy monday  up and about going to tavares today hope everyone has a blessed day,happy,positive
1af124bc1c, always have wanted to go to oz,always have wanted to go to oz,neutral
e98226e842, thx,thx,neutral
85ec413e54, httptwitpiccom4jaz5  cool luv it,luv,positive
7df7221145,  thats why i need to be thereto represent the blackberries,thats why i need to be there,positive
0ab8f9c4bc,okay so im dedicating my 300th tweet to the fact that im going to the apple store because there is a huge crack on the glass screen,okay so im dedicating my 300th tweet to the fact that im going to the apple store because there is a huge crack on the glass screen,neutral
06cad97de6, if only we could ever actually be allowed to stay here and do that,if only we could ever actually be allowed to stay here and do that,neutral
37f6bd5ac5, let me know how that turns out,let me know how that turns out,neutral
9bef0d7135, was that sass i detect  as long as it isnt back sass haha,was that sass i detect  as long as it isnt back sass haha,neutral
7436ec1a2c, yeah i was thinking about that ahaha,ahaha,positive
cf10e9309a, sports bar shatranjanpoli rest ph 26498457 all sports bar andheri w 26733333 dont know whether that helps google ki jai ho,sports bar shatranjanpoli rest ph 26498457 all sports bar andheri w 26733333 dont know whether that helps google ki jai ho,neutral
ce69e99e71,im not sleeping at all until  accepts my appology,im not sleeping at all un,negative
6402e14398,wolverine was boss seriously and william was in it what the  ,seriously,negative
914c40995f, i live for pain bring it on,i live for pain bring it on,neutral
258f37341e,okay im out for a while  back later,okay im out for a while  back later,neutral
77ba0fee75,  powerblog what is this powerblog challenge you keep talking about  im a newbie follower,g what is this powerblog challenge you keep talking about  im a newbie followe,neutral
96a4ce0d47,almost died laptop screen was set to 100 brightness after i reinstalled windows vista got a headache now  insanedefaults,died,positive
5bcc50c275,waiting for tish to get off got to drive my moms crv to pick her up all my myself and duckie first time,waiting for tish to get off got to drive my moms crv to pick her up all my myself and duckie first time,neutral
c5645758be,trying to decide on a movie with the friends not going to well lol p  no bible study 2nite which means day cake  buy my own,not going to well,negative
7e3c091fc2,going to shower because i dont want to smell at school tomorrow,going to shower because i dont want to smell at school tomorrow,neutral
869bb56451, sigh you know i am,sigh you know i am,neutral
09ad12cc5c,discovered cause of a bug in the new netplayer 4 build publishing bug fix now hopefully new beta by tomorrow,hopefully,positive
251aa82551,here are 4 free twitter tools will get you followers  httpshortto511q httpjijrcomhulz httpshortto511r http2veorgxpg0,here are 4 free twitter tools will get you followers  httpshortto511q httpjijrcomhulz httpshortto511r http2veorgxpg0,neutral
8e0a0ffbe1,just got home from work and is chugging down a big bottle of apple juice,just got home from work and is chugging down a big bottle of apple juice,neutral
799f65f193, yes it does please dont go if you die i will cry which normally leads to small animals getting harmed,g harmed,negative
d06582e26d,writing report cards  soooo tired but what an amazing day check it out on fb soon,what an amazing day,positive
dbe1d16b29, it was only once for my big brotherand im done now,it was only once for my big brotherand im done now,neutral
7809dd704a,good news finally finished my easactive workout that has been paused for 6 hours bad news my resistance band is torn,good news finally finished my easactive workout that has been paused for 6 hours bad news my resistance band is torn,neutral
97334eb7c0,well good morning all what a wonderful day in the neighborhood  thanks for all those that are now following another 60 this morning,well good morning all what a wonderful day in the neighborhood  thanks for all those that are now following another 60 this morning,positive
e1546f901a,ftsk and mercy mercedes were amazing tonight as always,were amazing tonight,positive
2ece7f3810,  hope he is ok,hope,positive
ba309a37d1,cant school just be done already it hurts too much seeing him every day,it hurts too much,positive
84ca20505a,i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says crackerack,i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says crackerack,neutral
de8c4c410d, hell yeah,hell yeah,neutral
e33d5ceea2, him shirt at dinner do you need to ask  does it actually have ville on it,him shirt at dinner do you need to ask  does it actually have ville on it,neutral
394881b7d0, i know,i know,neutral
52d8be9124, huh what the  smelly noooo i love alex vixon,huh what the  smelly noooo i love alex vixon,neutral
dabe649ee3,went to a party last night dindin and i showed up in matching outfits  great minds think alike  anyway happy birthday ate lara,great,positive
2a5bb8d827, happy bday just woke up on this side of earth so wishes are bit late,happy bday,positive
dbbbbe6059,thank you for teaching me values and to be a better person each day  i love so much youre the best mum in the world,thank,positive
894e188d01,happy mothers day,happy,positive
a91ca2ffae, laughs im glad that you have self confidence  its a wonderful trait to have  ill applaud extra loud for it okay,glad,positive
89d5b3f0b5,  thanks,thanks,positive
fe0abe1754,twittering after 2 days,twittering after 2 days,neutral
1b6380b1b3,getting ready for week  its too nice today to be stuck inside working,its too nice,positive
02c004bc2d,i am tres depressed,depressed,negative
b4d5f1e13e,felt like  behaved like my son ate to compensate pigged out on homeroasted sugar almonds painful tum threw up still feel sick,sick,negative
80481307d5,happy mothers day people i love my mom a lot still,happy mothers day people i love my mom a lot still,positive
05a0e60f99, im sorry to hear that,sorry,negative
e3cc598980, thats awesome dude yay for surprise celebrities  i got to meet him a few years ago he was soooo friendly, he was soooo friendly,positive
a2cf6cc397, it makes me happy to hear a girl talk or tweet about the nba but could you give my nuggets some love,happy,positive
53e78f3f89,is getting the hang of twitter,is getting the hang of twitter,neutral
ba83f744d8,you know your neck is jacked up when you are forced to pay for parking bc you cant turn you head to parallel park in the free spaces,you know your neck is jacked up when you are forced to pay for parking bc you cant turn you head to parallel park in the free spaces,negative
2dd0cddb70,i want it back now httpbitlypp1wz,i want it back now,neutral
e3a1b65ef3,going to miss my roomie  we will no longer be roomies starting tomorrow,miss,negative
7ae37ef593,bathing with two little angels keyla and janice,bathing with two little angels keyla and janice,neutral
73fa7068a2, yep finished chocked full of spelling and grammatical errors but im cleaning it up tomorrow and popping it up  hehe,chocked,negative
f5b15be6f6, hahahha lol true that i always remember my bd but i can never remember what date or even day it is,hahahha lol true that i always remember my bd but i can never remember what date or even day it is,neutral
68bda81bb9,family is herehanging with them,family is herehanging with them,neutral
59e77db781,watching ellen love her then doing the dishes  and tanning its gorgeous out,its gorgeous out,positive
e3731b6ce8, whats goin on hun  im worried about you,m worried,negative
b09362ee8e, im not bannished but i am at work till 6,im not bannished,negative
c4f9792d55, morning if i get to see it ill let you know right now im going to go see wolverine,morning if i get to see it ill let you know right now im going to go see wolverine,neutral
20d4300a14, red top tabloids build em up knock em down,red top tabloids build em up knock em down,neutral
7b69f49c42,tonight in party w my girls minus vita,tonight in party w my girls minus vita,positive
